;fruits_veggies;daily_stress;places_visited;core_circle;supporting_others;social_network;achievement;donation;todo_completed;flow;daily_steps;live_vision;sleep_hours;lost_vacation;daily_shouting;personal_awards;time_for_passion;weekly_meditation;age;gender;healthy_bmi;quest_year;sc_social;sc_stress;sc_fulfilment;sc_health
1305;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1306;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1307;4;4;4;4;0;2;1;2;7;2;6;0;7;0;1;3;1;5;21 to 35;Female;0;2015;35,35;39,96;21,28;65,4
1308;3;4;7;10;3;5;2;1;3;3;4;2;8;0;6;5;1;10;21 to 35;Female;0;2015;46,95;46,21;24,97;67,02
1309;1;5;3;6;4;10;0;5;4;4;6;3;7;7;1;4;6;3;21 to 35;Female;1;2015;56,44;57,27;42,25;36,85
1310;3;1;2;5;2;3;7;0;5;7;2;5;7;0;0;9;1;4;36 to 50;Male;0;2015;37,83;21,21;53,54;42,03
1311;3;2;10;8;4;10;5;5;7;4;6;1;7;2;1;10;2;6;51 or more;Male;1;2015;75,71;31,86;29,07;58,06
1312;5;3;5;8;4;6;10;1;3;3;5;2;7;5;0;5;0;4;21 to 35;Male;1;2015;55,13;43,23;33,78;55,96
1313;2;3;4;1;7;7;2;1;4;1;6;0;6;0;2;6;6;2;51 or more;Female;0;2015;50,69;43,46;30,27;43,64
1314;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1315;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1316;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1317;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1318;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1319;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1320;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1321;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1322;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1323;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1324;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1325;4;3;10;7;10;8;10;1;4;3;10;2;8;0;2;10;2;10;36 to 50;Female;1;2015;68,45;42,47;32,24;78,87
1326;5;2;3;6;2;5;2;3;7;1;10;1;9;0;6;7;3;7;21 to 35;Female;1;2015;41,04;46,95;26,07;86,54
1327;5;4;8;7;7;4;2;2;7;5;5;4;10;0;5;4;5;7;21 to 35;Female;1;2015;42,55;46,13;40,93;80,53
1328;5;2;8;8;7;9;8;5;6;9;8;9;8;8;3;8;9;5;36 to 50;Male;1;2015;60,09;54,67;76,04;65,15
1329;2;3;7;6;5;3;5;3;10;5;6;10;7;0;2;6;4;10;51 or more;Female;1;2015;45,43;32,86;57,23;61,91
1330;2;3;7;6;5;3;5;3;10;5;6;10;7;0;2;6;4;10;51 or more;Female;1;2015;45,43;32,86;57,23;61,91
1331;5;0;10;10;7;10;9;5;9;10;10;9;9;3;9;10;9;9;36 to 50;Male;1;2015;60,68;51,86;79,53;86,28
1332;4;2;10;6;10;7;8;5;9;3;4;7;8;0;2;10;1;9;51 or more;Male;0;2015;75,17;27,11;36,49;67,44
1333;2;2;6;7;9;6;5;5;8;2;9;4;6;0;2;10;2;3;20 or younger;Male;1;2015;79,05;34,9;29,15;49,35
1334;3;1;10;5;3;5;0;2;10;4;2;1;8;0;1;3;1;10;36 to 50;Female;0;2015;39,14;12,79;31,14;66,98
1335;2;3;3;4;1;10;1;0;2;0;6;6;6;2;10;0;1;1;21 to 35;Male;0;2015;36,42;69,51;29,01;46,82
1336;4;4;5;1;7;2;0;4;10;1;3;0;7;5;2;10;1;2;21 to 35;Female;0;2015;57,39;47,95;18,64;56,34
1337;3;3;4;4;3;5;3;5;5;0;3;0;8;0;4;7;7;4;21 to 35;Male;0;2015;52,78;39,09;27,4;54,5
1338;4;4;6;1;3;6;0;3;5;2;6;0;8;6;2;1;1;8;51 or more;Male;0;2015;33,63;52,45;23,57;72,29
1339;3;2;10;6;10;10;10;5;3;2;5;1;7;0;2;10;10;10;36 to 50;Female;1;2015;79,11;32,3;42,0;58,53
1340;5;3;2;5;6;5;7;1;9;7;8;7;8;0;1;7;8;7;51 or more;Female;1;2015;37,89;42,51;69,58;70,48
1341;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1342;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1343;3;3;6;6;7;3;6;4;6;6;2;1;8;8;4;6;6;7;21 to 35;Female;0;2015;48,66;49,06;53,14;54,46
1344;3;0;10;6;9;3;10;4;2;3;2;1;10;8;4;9;10;9;21 to 35;Female;0;2015;51,0;29,0;55,83;63,36
1345;5;3;2;6;0;5;2;0;10;1;1;1;8;10;4;0;0;10;21 to 35;Male;1;2015;20,31;51,27;36,76;70,57
1346;4;4;2;2;1;3;1;1;4;2;4;0;7;7;4;2;0;3;21 to 35;Male;0;2015;27,48;61,16;25,83;56,84
1347;3;2;1;5;7;8;4;5;8;6;3;6;6;0;2;5;2;8;20 or younger;Female;1;2015;57,89;32,5;48,39;44,56
1348;1;3;3;5;2;10;5;5;5;5;10;1;5;5;0;5;4;5;21 to 35;Female;0;2015;58,49;49,61;43,95;41,67
1349;1;2;4;7;8;7;4;3;6;4;3;2;7;0;2;7;4;10;36 to 50;Female;0;2015;58,44;25,38;41,97;44,68
1350;5;3;6;3;5;8;1;3;2;0;10;0;7;10;2;2;1;5;36 to 50;Female;0;2015;47,02;61,67;17,5;71,11
1351;5;1;9;4;8;10;3;1;10;6;6;1;7;10;1;7;5;4;51 or more;Female;0;2015;52,63;45,8;52,29;63,51
1352;3;3;6;5;8;10;4;1;6;6;8;10;8;7;4;5;5;5;20 or younger;Female;1;2015;44,97;60,14;64,82;59,47
1353;5;2;10;6;10;7;3;5;8;5;5;3;9;5;0;10;5;3;36 to 50;Female;1;2015;70,69;32,42;39,41;64,52
1354;2;5;1;5;2;2;4;0;5;2;2;2;8;0;5;3;1;5;21 to 35;Female;1;2015;30,57;50,58;32,28;50,86
1355;3;1;5;4;5;6;7;5;2;3;5;10;7;0;2;4;7;7;21 to 35;Female;1;2015;48,66;27,84;54,56;50,9
1356;1;2;2;4;2;2;7;1;3;8;10;3;7;2;1;10;9;7;21 to 35;Female;1;2015;29,93;40,13;70,55;52,89
1357;2;4;5;10;10;10;3;5;8;4;3;5;6;0;6;6;4;10;36 to 50;Male;0;2015;77,0;48,4;39,4;47,74
1358;2;1;3;3;5;3;1;1;10;5;5;10;9;0;2;1;1;4;21 to 35;Female;1;2015;23,0;22,19;55,29;55,38
1359;1;2;3;5;2;10;6;5;7;10;10;1;5;0;2;5;4;5;21 to 35;Female;0;2015;55,97;44,36;56,74;43,62
1360;3;5;10;10;10;10;5;5;10;6;2;10;6;0;10;7;7;10;36 to 50;Female;0;2015;78,13;65,24;56,46;58,16
1361;2;2;3;5;6;10;4;3;5;2;6;5;8;4;4;3;3;7;36 to 50;Male;0;2015;47,46;44,23;42,79;53,87
1362;4;4;10;6;5;3;4;1;10;8;5;5;8;0;5;10;5;6;51 or more;Female;1;2015;47,08;49,77;53,75;72,79
1363;3;0;10;6;9;3;10;4;2;3;2;1;10;8;4;9;10;9;21 to 35;Female;0;2015;51,0;29,0;55,83;63,36
1364;4;4;3;3;10;10;2;5;6;0;4;0;6;10;10;2;0;5;21 to 35;Female;1;2015;63,53;83,96;19,21;56,09
1365;4;3;4;10;4;8;8;5;7;5;8;5;8;0;5;10;8;8;36 to 50;Female;0;2015;63,36;49,18;54,75;69,05
1366;1;5;3;7;6;10;3;5;4;2;2;2;6;10;3;10;3;4;51 or more;Female;0;2015;74,37;63,54;33,25;28,49
1367;5;3;10;6;10;2;3;5;5;1;9;6;5;0;1;10;2;10;51 or more;Male;1;2015;75,36;36,6;18,84;72,8
1368;1;3;5;10;5;10;5;1;7;4;10;2;6;0;4;5;4;5;20 or younger;Female;1;2015;60,77;48,44;42,02;50,16
1369;3;3;6;6;1;1;4;2;6;2;5;3;7;2;5;7;2;3;21 to 35;Male;1;2015;43,59;46,45;31,0;58,19
1370;2;2;2;3;1;10;3;1;4;3;5;1;8;2;4;5;5;3;36 to 50;Female;0;2015;35,83;44,98;42,86;48,86
1371;3;3;10;6;3;3;8;3;5;4;8;10;9;0;1;7;7;10;20 or younger;Female;0;2015;41,38;31,81;57,78;76,01
1372;5;3;10;3;1;10;3;2;6;1;10;0;6;0;2;5;0;8;36 to 50;Female;1;2015;53,3;47,22;13,53;81,63
1373;3;3;3;4;4;3;0;0;8;5;8;2;8;10;3;5;1;2;21 to 35;Female;0;2015;28,38;58,88;44,41;60,2
1374;3;3;3;4;4;3;0;0;8;5;8;2;8;10;3;5;1;2;21 to 35;Female;0;2015;28,38;58,88;44,41;60,2
1375;2;4;10;4;3;3;4;5;8;4;2;10;8;0;3;2;2;2;21 to 35;Male;0;2015;48,53;36,7;42,23;49,92
1376;2;4;10;4;3;3;4;5;8;4;2;10;8;0;3;2;2;2;21 to 35;Male;0;2015;48,53;36,7;42,23;49,92
1377;4;3;10;5;10;10;2;5;8;4;8;3;8;0;2;10;7;3;21 to 35;Female;1;2015;76,6;41,56;35,41;65,26
1378;3;5;10;4;6;5;0;5;4;0;3;0;5;0;2;3;0;4;51 or more;Male;0;2015;70,69;44,11;0,48;48,15
1379;1;2;10;10;10;10;9;0;9;10;10;8;7;0;0;3;10;10;51 or more;Female;1;2015;53,1;29,99;85,57;56,77
1380;4;2;10;6;1;6;0;2;5;3;3;0;7;1;4;3;3;6;20 or younger;Female;1;2015;43,91;34,89;24,17;63,78
1381;2;4;0;1;2;1;0;1;1;1;2;5;10;4;1;4;2;2;20 or younger;Female;1;2015;18,9;39,4;33,79;46,33
1382;2;4;0;1;2;1;0;1;1;1;2;5;10;4;1;4;2;2;20 or younger;Female;1;2015;18,9;39,4;33,79;46,33
1383;3;3;6;4;10;8;6;2;8;5;3;2;5;10;4;10;1;5;51 or more;Female;0;2015;67,46;61,97;44,24;43,43
1384;3;3;1;1;7;7;3;1;1;3;3;2;8;0;2;4;2;3;36 to 50;Female;0;2015;41,19;40,21;32,03;44,86
1385;1;2;5;2;8;6;2;4;5;2;8;0;6;0;2;5;2;7;36 to 50;Male;1;2015;56,68;34,18;24,45;50,74
1386;5;3;1;4;4;2;3;0;4;0;6;0;8;0;10;4;0;5;51 or more;Female;1;2015;31,64;62,53;18,21;75,7
1387;2;1;9;9;2;8;4;2;8;2;1;0;8;0;1;9;1;5;36 to 50;Male;1;2015;62,19;13,11;25,48;48,59
1388;3;4;3;4;4;4;3;1;2;2;2;2;6;0;6;5;1;3;51 or more;Female;0;2015;46,63;54,11;24,01;44,47
1389;4;2;1;3;8;10;1;4;2;0;2;2;5;0;0;10;0;4;51 or more;Female;0;2015;74,9;30,56;11,75;35,06
1390;2;5;8;5;10;10;10;5;5;2;4;1;8;0;1;5;10;2;21 to 35;Female;1;2015;76,64;45,22;42,39;43,42
1391;5;2;10;10;10;10;10;5;7;5;8;5;7;0;1;5;5;7;36 to 50;Female;1;2015;80,59;33,39;45,03;66,63
1392;5;0;3;10;5;10;5;1;10;1;10;3;10;0;2;0;4;10;20 or younger;Male;1;2015;38,42;22,12;42,73;86,16
1393;2;2;0;3;10;10;0;5;5;2;6;10;5;0;0;5;0;10;51 or more;Female;0;2015;62,99;29,68;34,81;40,67
1394;5;3;1;3;1;3;0;0;10;0;5;0;6;0;4;0;0;10;51 or more;Male;1;2015;23,28;43,59;21,7;74,85
1395;2;3;6;10;5;10;4;3;8;5;7;1;7;0;2;4;3;7;21 to 35;Female;1;2015;62,84;36,83;37,99;54,39
1396;1;3;0;5;2;4;2;2;7;3;1;1;6;0;0;5;0;1;51 or more;Female;1;2015;47,43;27,29;29,72;25,34
1397;4;4;10;7;10;10;8;3;7;6;8;5;7;0;1;10;8;3;21 to 35;Male;1;2015;78,26;47,87;51,66;58,67
1398;4;4;10;7;10;10;8;3;7;6;8;5;7;0;1;10;8;3;21 to 35;Male;1;2015;78,26;47,87;51,66;58,67
1399;4;4;10;8;6;10;10;3;7;7;7;5;7;0;1;10;10;5;21 to 35;Male;1;2015;71,07;46,8;61,84;60,45
1400;3;2;4;2;10;5;3;3;5;0;8;3;6;10;8;6;1;3;21 to 35;Male;1;2015;54,12;70,57;29,33;56,09
1401;5;0;3;10;5;10;5;1;10;1;10;3;10;0;2;0;4;10;20 or younger;Male;1;2015;38,42;22,12;42,73;86,16
1402;2;2;10;4;8;10;6;5;7;3;2;7;8;0;0;6;2;10;21 to 35;Male;0;2015;65,96;18,56;39,51;53,95
1403;5;5;10;4;10;8;10;4;4;1;1;3;5;10;4;6;3;10;51 or more;Male;1;2015;73,38;69,15;33,25;57,86
1404;1;2;10;6;1;8;6;3;8;3;3;10;8;0;6;10;7;7;21 to 35;Male;0;2015;50,8;36,53;57,98;55,48
1405;2;4;10;2;1;3;2;2;7;1;3;1;8;0;10;2;1;10;21 to 35;Male;1;2015;30,39;56,03;22,58;76,4
1406;0;5;1;2;10;3;2;5;10;4;3;1;5;10;2;5;1;7;51 or more;Female;0;2015;55,88;59,04;40,84;31,86
1407;2;2;10;7;10;10;6;5;5;3;6;2;7;0;1;10;5;8;21 to 35;Female;1;2015;82,2;27,6;33,05;53,23
1408;5;3;3;4;7;10;4;4;7;2;5;0;7;8;8;10;1;7;20 or younger;Female;1;2015;63,01;72,06;28,48;67,89
1409;5;3;3;4;7;10;4;4;7;2;5;0;7;8;8;10;1;7;20 or younger;Female;1;2015;63,01;72,06;28,48;67,89
1410;4;3;3;1;7;6;5;0;6;4;6;8;8;0;2;6;9;8;21 to 35;Female;1;2015;30,69;43,17;64,07;65,97
1411;4;3;3;1;7;6;5;0;6;4;6;8;8;0;2;6;9;8;21 to 35;Female;1;2015;30,69;43,17;64,07;65,97
1412;4;3;3;1;7;6;5;0;6;4;6;8;8;0;2;6;9;8;21 to 35;Female;1;2015;30,69;43,17;64,07;65,97
1413;4;2;3;2;8;10;5;3;5;1;6;3;6;10;4;7;1;5;21 to 35;Male;1;2015;58,1;61,58;34,7;53,51
1414;3;4;10;6;3;10;1;5;6;2;8;5;8;0;1;8;8;5;36 to 50;Female;0;2015;63,78;40,99;34,7;64,91
1415;3;1;10;8;10;5;2;5;7;3;5;3;7;0;5;6;1;4;36 to 50;Female;1;2015;73,55;29,39;22,66;55,98
1416;5;1;2;6;10;7;0;5;6;2;4;1;5;0;4;10;0;7;51 or more;Male;1;2015;76,09;34,56;15,19;52,92
1417;5;5;0;8;10;10;8;5;7;3;8;10;7;10;1;6;6;5;36 to 50;Male;1;2015;68,23;69,6;59,89;54,25
1418;3;4;1;4;7;6;1;5;6;9;8;2;4;6;8;0;3;5;21 to 35;Male;0;2015;48,34;80,05;49,51;48,35
1419;5;1;10;8;10;10;10;5;8;4;10;4;8;1;2;10;5;10;36 to 50;Female;1;2015;77,71;33,43;44,5;81,17
1420;3;4;1;4;7;6;1;5;6;9;8;2;4;6;8;0;3;5;21 to 35;Male;0;2015;48,34;80,05;49,51;48,35
1421;3;3;6;6;4;8;4;3;4;5;3;4;5;5;4;4;4;6;21 to 35;Female;0;2015;54,38;52,6;44,9;43,68
1422;2;4;2;3;10;10;1;5;4;4;2;10;9;0;5;3;1;4;51 or more;Female;1;2015;56,1;47,5;40,07;42,96
1423;2;2;7;4;10;8;5;5;8;6;7;2;7;0;2;6;4;4;36 to 50;Female;1;2015;67,77;34,94;42,74;50,54
1424;5;3;7;7;10;5;5;3;8;3;4;10;10;3;4;7;2;9;51 or more;Female;1;2015;53,23;40,56;45,41;76,95
1425;4;5;10;2;1;10;0;5;2;1;10;1;8;10;10;4;0;5;21 to 35;Female;0;2015;48,53;93,32;13,78;82,98
1426;3;3;5;3;3;5;3;1;3;6;8;5;8;10;5;5;3;5;21 to 35;Male;0;2015;27,54;66,98;54,1;63,72
1427;2;2;4;4;0;5;5;0;6;2;4;2;6;1;1;3;1;5;21 to 35;Female;1;2015;34,86;30,78;35,46;46,51
1428;5;3;9;2;10;10;3;5;5;5;4;0;7;5;6;9;0;7;36 to 50;Female;1;2015;71,39;60,2;23,59;67,51
1429;3;2;6;7;6;10;5;0;8;3;3;10;8;0;3;3;5;7;36 to 50;Male;0;2015;44,44;31,76;57,0;55,06
1430;5;3;9;2;10;10;9;5;4;5;4;0;7;5;6;7;0;7;36 to 50;Female;1;2015;71,71;61,97;29,76;66,39
1431;4;4;5;4;3;4;3;3;3;2;5;3;7;5;1;5;1;3;36 to 50;Female;0;2015;47,98;49,11;25,88;54,58
1432;1;2;7;5;10;10;7;3;7;7;1;5;6;7;2;7;1;5;36 to 50;Female;1;2015;67,89;40,45;54,47;29,59
1433;5;4;8;8;2;8;5;3;10;5;7;3;8;0;3;8;5;6;21 to 35;Male;1;2015;56,82;48,21;42,22;76,31
1434;5;2;8;2;3;3;1;1;3;0;2;3;6;0;1;10;1;2;21 to 35;Female;0;2015;51,8;29,41;14,05;53,96
1435;5;2;8;2;3;3;1;1;3;0;2;3;6;0;1;10;1;2;21 to 35;Female;0;2015;51,8;29,41;14,05;53,96
1436;5;4;10;4;10;10;2;5;4;1;10;0;6;8;5;3;6;4;21 to 35;Female;1;2015;70,29;73,58;23,18;69,79
1437;4;1;7;4;6;6;9;1;5;6;4;7;7;0;0;7;5;10;36 to 50;Male;1;2015;44,37;22,94;60,29;60,69
1438;4;1;4;3;5;6;1;5;5;1;1;0;7;10;1;5;6;7;51 or more;Male;0;2015;46,76;34,65;36,2;50,1
1439;0;5;10;3;10;10;5;3;3;1;9;0;4;10;1;10;0;1;36 to 50;Male;0;2015;85,59;69,2;18,61;32,29
1440;3;2;3;10;10;7;5;2;2;3;6;5;7;0;3;3;3;8;21 to 35;Female;1;2015;59,4;34,01;38,07;50,78
1441;5;4;4;2;6;3;4;3;3;2;7;1;7;0;1;10;5;10;36 to 50;Female;1;2015;49,55;44,72;28,49;73,57
1442;2;1;7;10;10;9;3;3;5;6;2;10;6;0;0;8;3;7;36 to 50;Female;0;2015;73,14;15,44;50,39;33,41
1443;3;5;4;3;6;6;3;5;3;2;4;1;8;0;10;2;1;10;36 to 50;Female;1;2015;47,9;67,54;20,72;69,49
1444;3;4;10;10;8;10;3;4;9;3;10;5;7;0;2;10;8;5;36 to 50;Female;0;2015;79,97;45,72;39,93;63,9
1445;1;5;2;0;0;5;0;0;2;1;1;0;7;3;1;1;0;10;51 or more;Male;0;2015;20,3;44,02;24,02;47,2
1446;2;3;4;2;3;3;1;1;6;2;8;5;6;8;5;1;2;5;36 to 50;Female;1;2015;26,06;61,75;41,8;56,83
1447;2;2;5;2;3;5;2;2;8;0;5;0;9;0;5;8;0;2;21 to 35;Female;1;2015;44,15;37,27;19,16;60,61
1448;2;2;5;2;3;5;2;2;8;0;5;0;9;0;5;8;0;2;21 to 35;Female;1;2015;44,15;37,27;19,16;60,61
1449;2;2;1;10;3;6;5;1;8;7;5;5;7;10;2;7;3;4;20 or younger;Female;0;2015;43,05;47,35;65,06;40,54
1450;5;1;10;10;6;10;10;5;10;5;7;0;8;0;0;4;3;10;21 to 35;Female;0;2015;70,49;20,59;39,1;76,55
1451;5;1;10;10;6;10;10;5;10;5;7;0;8;0;0;4;3;10;21 to 35;Female;0;2015;70,49;20,59;39,1;76,55
1452;1;4;8;5;10;10;6;4;4;2;10;1;7;10;0;10;1;3;21 to 35;Male;1;2015;78,61;58,03;28,57;46,96
1453;2;3;9;5;10;4;3;1;8;3;3;8;7;4;0;5;5;3;21 to 35;Female;1;2015;53,43;32,05;49,07;42,85
1454;4;4;6;10;7;10;8;3;7;4;10;10;7;0;5;8;9;2;36 to 50;Male;1;2015;70,38;60,99;58,99;60,04
1455;3;3;2;6;5;5;2;5;8;1;10;2;8;0;5;8;1;3;21 to 35;Female;1;2015;59,43;48,94;21,31;65,58
1456;3;4;9;5;1;1;0;0;4;1;6;0;7;0;6;6;2;2;36 to 50;Male;0;2015;39,98;52,27;15,19;64,2
1457;4;3;10;10;10;7;7;5;4;4;5;3;6;0;8;10;2;7;21 to 35;Female;1;2015;86,85;53,63;26,29;60,83
1458;1;5;0;2;1;4;1;1;2;1;1;0;9;2;10;3;2;3;21 to 35;Female;0;2015;24,53;67,71;26,91;48,07
1459;3;3;1;7;9;6;7;0;8;6;3;8;8;2;8;6;8;10;20 or younger;Female;0;2015;37,75;55,73;74,51;59,04
1460;3;1;7;3;1;3;2;1;8;3;7;4;8;0;1;2;1;1;20 or younger;Male;1;2015;30,33;24,31;34,94;60,93
1461;4;5;4;10;5;2;3;3;3;1;2;0;8;10;3;5;4;3;36 to 50;Female;0;2015;53,45;58,21;27,6;50,08
1462;1;3;2;10;8;5;5;2;1;4;10;10;6;3;3;5;6;10;21 to 35;Male;0;2015;50,58;47,45;58,13;47,74
1463;1;5;0;2;1;4;1;1;2;1;1;0;9;2;10;3;2;3;21 to 35;Female;0;2015;24,53;67,71;26,91;48,07
1464;2;1;4;3;5;2;4;3;5;1;3;5;6;10;2;2;4;3;21 to 35;Female;0;2015;37,86;38,92;46,18;37,61
1465;2;2;5;9;5;3;6;5;5;3;1;4;7;0;3;10;1;10;21 to 35;Male;1;2015;64,88;23,12;32,58;47,8
1466;3;4;2;7;3;4;1;0;4;1;10;0;7;0;10;6;0;7;51 or more;Male;0;2015;40,02;69,77;17,96;73,86
1467;4;3;3;2;6;7;6;4;4;4;8;5;7;7;0;6;4;4;51 or more;Female;0;2015;50,07;52,22;47,75;55,51
1468;2;2;4;5;10;10;4;5;6;2;3;10;8;0;1;6;9;10;21 to 35;Female;1;2015;59,81;24,07;57,03;47,88
1469;2;2;4;4;6;8;2;5;3;3;6;2;7;5;5;5;2;5;36 to 50;Female;0;2015;55,62;49,73;31,41;49,2
1470;1;4;2;3;2;3;5;0;0;2;3;1;6;0;4;4;1;1;20 or younger;Female;1;2015;38,89;49,44;27,37;32,63
1471;2;5;0;8;4;10;1;1;1;2;6;0;6;2;5;7;3;1;20 or younger;Female;0;2015;60,24;65,97;23,96;36,38
1472;1;5;0;2;1;4;1;1;2;1;1;0;9;2;10;3;2;3;21 to 35;Female;0;2015;24,53;67,71;26,91;48,07
1473;4;5;3;2;4;1;2;1;0;0;1;1;8;0;0;0;9;10;51 or more;Female;1;2015;22,85;35,93;33,56;59,9
1474;1;5;0;3;1;6;0;0;3;2;8;6;8;7;4;0;2;10;21 to 35;Female;0;2015;13,88;65,44;45,16;60,56
1475;3;1;5;9;5;4;9;4;3;5;4;2;7;9;5;8;6;4;21 to 35;Male;0;2015;56,6;47,96;54,29;46,14
1476;3;3;10;6;10;5;10;0;7;6;5;5;8;0;0;4;10;10;21 to 35;Female;1;2015;46,07;29,53;68,04;64,21
1477;4;4;2;2;2;2;1;0;3;2;8;3;7;0;2;2;4;10;36 to 50;Male;0;2015;19,53;47,06;34,69;73,01
1478;5;5;5;10;10;10;10;5;7;7;10;7;7;0;3;10;7;7;51 or more;Female;1;2015;81,49;61,47;56,91;67,69
1479;3;4;2;4;1;6;3;1;7;4;7;2;9;0;6;3;1;5;21 to 35;Male;0;2015;29,13;56,34;36,92;69,53
1480;3;2;10;10;10;10;10;4;5;3;7;5;7;5;1;10;5;5;20 or younger;Female;1;2015;84,76;38,47;44,42;51,79
1481;2;4;3;7;10;10;2;0;1;6;10;1;8;0;10;10;10;3;20 or younger;Male;1;2015;55,62;75,87;50,34;57,01
1482;4;4;10;7;10;10;2;5;2;0;8;2;7;0;2;10;0;10;51 or more;Female;1;2015;85,62;43,27;3,78;70,55
1483;4;5;10;7;5;10;7;2;5;4;3;0;8;0;3;7;4;3;21 to 35;Female;1;2015;67,73;50,95;30,26;58,28
1484;4;3;3;3;6;5;2;3;10;2;8;0;8;7;7;10;1;7;36 to 50;Female;0;2015;47,38;65,41;30,64;77,22
1485;3;2;1;10;10;10;1;5;9;5;3;5;8;7;1;4;5;6;36 to 50;Female;1;2015;63,09;34,65;52,82;42,33
1486;3;1;5;9;5;4;9;4;3;5;4;2;7;9;5;8;6;4;21 to 35;Male;0;2015;56,6;47,96;54,29;46,14
1487;4;1;9;10;10;10;10;5;8;8;7;10;8;0;0;10;10;10;51 or more;Female;1;2015;73,51;22,52;75,45;64,02
1488;2;3;1;2;8;2;5;5;2;2;3;3;6;8;1;6;3;6;36 to 50;Male;1;2015;51,5;45,34;38,13;36,51
1489;1;5;7;1;1;2;1;0;3;3;3;5;7;0;2;0;10;10;20 or younger;Male;1;2015;14,48;42,38;53,04;54,93
1490;1;5;7;1;1;4;0;0;3;2;2;1;6;0;4;0;8;10;20 or younger;Male;1;2015;22,02;48,65;38,7;52,36
1491;0;2;5;1;0;2;2;1;7;1;5;1;8;0;3;2;1;5;21 to 35;Male;1;2015;22,59;28,68;30,44;53,23
1492;2;1;10;10;10;10;7;5;2;6;6;1;7;0;2;8;9;10;36 to 50;Female;1;2015;77,82;24,88;47,9;51,94
1493;0;2;5;1;0;2;2;1;7;1;5;1;8;0;3;2;1;5;21 to 35;Male;1;2015;22,59;28,68;30,44;53,23
1494;2;2;7;3;3;6;1;1;6;4;1;3;7;0;2;5;1;4;36 to 50;Female;1;2015;42,32;27,02;33,53;44,38
1495;4;1;4;6;3;4;2;5;7;4;8;2;8;0;1;7;3;5;36 to 50;Female;1;2015;50,18;25,02;33,29;65,82
1496;5;0;3;5;4;6;4;2;7;10;7;1;6;3;0;6;2;4;21 to 35;Male;1;2015;43,84;30,73;53,46;55,71
1497;1;0;8;7;10;5;3;5;7;5;4;2;8;0;1;7;1;7;21 to 35;Male;1;2015;66,35;8,6;33,92;47,3
1498;3;3;10;2;5;5;1;0;6;6;3;5;8;2;1;4;1;9;21 to 35;Female;1;2015;32,61;32,97;42,19;64,87
1499;1;3;3;2;5;5;2;5;2;2;5;5;8;0;6;5;1;2;21 to 35;Female;1;2015;49,51;47,27;27,34;44,57
1500;2;4;3;3;2;4;3;0;10;3;4;0;5;0;7;10;2;2;21 to 35;Female;0;2015;47,15;60,4;33,03;47,26
1501;2;1;0;4;5;10;5;1;5;5;2;5;6;2;1;6;7;6;36 to 50;Male;1;2015;43,59;30,31;62,79;32,27
1502;1;3;10;6;3;10;1;1;3;2;10;0;6;0;1;7;3;7;21 to 35;Female;0;2015;58,33;38,77;21,84;57,05
1503;1;1;10;5;5;4;0;0;3;2;10;5;8;0;0;2;1;7;21 to 35;Male;1;2015;35,33;18,4;29,29;63,16
1504;5;1;1;7;7;4;3;5;10;2;8;5;8;2;1;10;0;6;51 or more;Female;1;2015;60,45;27,95;31,21;68,51
1505;3;2;2;5;0;10;0;0;7;1;6;2;7;0;2;4;3;3;21 to 35;Male;0;2015;38,32;36,34;31,36;52,8
